,price,propertyType,exterior,rooms,bathrooms,municipality,status,floor,hasLift,size_MinMax,distance_MinMax,outliers_ifo_0.01_100,outliers_ifo_0.01_400,outliers_ifo_0.01_1000,outliers_ifo_0.01_2000,outliers_ifo_0.05_100,outliers_ifo_0.05_400,outliers_ifo_0.05_1000,outliers_ifo_0.05_2000,outliers_ifo_0.1_100,outliers_ifo_0.1_400,outliers_ifo_0.1_1000,outliers_ifo_0.1_2000
109,750.0,flat,True,2,1,Madrid,good,3,False,0.3191489361702128,0.1444347933986847,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
110,680.0,flat,True,2,1,Torrejón de Ardoz,good,3,False,0.3829787234042553,0.3388403382199138,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
111,710.0,flat,True,3,1,Parla,good,4,False,0.6170212765957447,0.3799478843528974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
112,720.0,flat,True,2,1,Madrid,good,1,False,0.2872340425531915,0.1224008650488362,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
113,750.0,studio,True,0,1,Madrid,good,desconocido,True,0.2446808510638297,0.0912732880718983,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
114,695.0,studio,True,0,1,Madrid,good,desconocido,True,0.2127659574468085,0.2161381241912325,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
115,630.0,flat,True,1,2,El Álamo,desconocido,desconocido,desconocido,0.3617021276595744,0.5716590147661,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
116,750.0,flat,True,3,1,Algete,good,desconocido,True,0.7446808510638298,0.4647510325634162,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
117,730.0,flat,True,1,1,Madrid,good,2,True,0.3191489361702128,0.1512771878822257,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
118,600.0,flat,True,3,1,Valdemoro,good,desconocido,True,0.7446808510638298,0.4431425380674667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
119,650.0,studio,True,0,1,Madrid,good,bj,True,0.2659574468085106,0.0970166450995338,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
120,750.0,flat,False,1,1,Madrid,good,bj,True,0.1914893617021276,0.0050874798362079,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
121,730.0,flat,True,1,1,Rivas-Vaciamadrid,good,desconocido,True,0.3191489361702128,0.28764646446741,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
122,735.0,studio,True,0,1,Madrid,good,2,True,0.1063829787234042,0.1950791484232358,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
123,610.0,flat,False,1,1,Pinto,good,bj,True,0.5531914893617021,0.3432010352223778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
124,580.0,chalet,False,3,2,Los Santos de la Humosa,good,desconocido,desconocido,0.3617021276595744,0.6890255792104657,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
125,725.0,flat,True,1,1,Villanueva del Pardillo,good,en,False,0.3191489361702128,0.4184141953095918,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
126,750.0,flat,True,1,1,Madrid,good,1,False,0.2978723404255319,0.0868948646588552,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
127,750.0,flat,True,3,1,Alcalá de Henares,good,2,False,0.5319148936170213,0.5225214046407743,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
